"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","shares_outstanding_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent","return_on_equity_ttm_percent","market_cap_as_factor"
"35","GOR.AX","Gold Road Resources","Gold Road Resources Ltd is an Australia-based gold production and exploration company. The Company operates through two segments: Development and Production and Exploration. The Development and Production segment consists of the joint Gruyere operation with Gold Fields. The Exploration segment includes the activities on all mineral exploration and the Gruyere JV tenements. The Gruyere gold mine is located approximately 200 kilometers (kms) east of Laverton, in Western Australia. The Golden Highway project is located approximately 25 kilometers west of the Gruyere Gold Mine on the western side of the Yamarna Greenstone Belt.",2021-02-12,1.19,2.02,0.8,1.46,0,5755008,31,1091,2.95,13.69,0.08,38.31,0.42,1160,834.43,27.08,879.92,5.47,0,16.95,26.4,0,10.31,"8"
"36","GNG.AX","GR Engineering Services","GR Engineering Services Limited is an engineering, consulting and contracting company. The Company's principal activities include the provision of process engineering, design and construction services to the mining and mineral processing industry, and the provision of operations, maintenance and well management services to the oil and the gas sector. Its segments include Mineral Processing, and Oil and Gas. Its services cover all aspects of the project life cycle from the initial evaluation and study phase through to design, construction, commissioning and operational support. The Company carries out all engineering design, including process, civil, structural, mechanical, piping, electrical and instrumentation/control design. It also carries out site structural, mechanical, piping and electrical construction, and installation works. The Company provides services for projects associated with a range of precious and industrial commodities. It operates in Australia and Overseas.",2021-02-12,1.31,1.32,0.6,1.05,0,35047,0,204.8,5.84,-19.16,0.24,21.51,0.23,172.75,52.85,15.83,155.15,61.38,4.78,-3.22,-4.63,42.6,-17.88,"6"
"37","HZR.AX","Hazer Group Limited","Hazer Group Limited is a specialist commercialization company. The Company is engaged in research and development of graphite and hydrogen production technology. The Company utilizes the Hazer Process on unprocessed iron ore as a low cost catalyst to crack natural gas to produce hydrogen and graphite. The Hazer Process enables the conversion of natural gas, and similar feedstocks, into hydrogen and graphite. The graphite produced by the Hazer Process is (greater than 90% weight (wt)) crystalline synthetic graphite. The Hazer Process can be tailored to create a range of graphite morphologies, enabling the Company to target multiple specialized markets and end user applications. The Hazer Process is developed at the University of Western Australia (UWA).",2021-02-12,1.55,1.89,0.25,0.66,0,1343758,0,202.74,10.57,-59.93,0.13,0.25,0.13,194.69,109.77,-2.21,145.34,20.49,0,-232.04,-234.76,-15.2,-27.05,"6"
"38","IGO.AX","IGO Limited","IGO Limited, formerly Independence Group NL, is an Australia-based exploration and mining company. The Company’s segments include The Nova Operation, the Tropicana Operation and Growth, which comprises regional exploration activities and project evaluation. The Nova Operation produces nickel and copper concentrates. The Tropicana Operation represents the Company’s joint venture interest in the Tropicana Gold Mine. The Company is engaged in nickel, copper and cobalt mining and processing at the Nova Operation and non-operator gold mining in the Tropicana Operation. The Nova Operation is located in the Fraser Range, approximately 140 kilometer (km) east-northeast of Norseman, 360km southeast of Kalgoorlie and 380km from the port of Esperance in Western Australia. The Tropicana Operation is located 330km east northeast of Kalgoorlie. The Company’s exploration projects are located in Western Australia, South Australia, the Northern Territory and Greenland.",2021-02-12,6.46,7.76,3.27,5.17,0,3958792,36.87,5081,1.89,9.01,1.75,1.42,3.56,3620,654.27,132.57,757.27,12.58,0.76,12.45,19.15,-2.5,4.8,"10"
"39","ILU.AX","Iluka Resources","Iluka Resources Limited is a mineral sands company. The Company’s segments include Jacinth-Ambrosia/Mid West, Cataby/South West, Sierra Rutile, Mining Area C and United States/Murray Basin. The Jacinth-Ambrosia/Mid West segment comprises of the mining operations at Jacinth-Ambrosia located in South Australia, and associated processing operations at the Narngulu mineral separation plant in Western Australia. Cataby/South West segment comprises of mining activities at Cataby and processing of ilmenite at Synthetic Rutile Kiln 2, both located in Western Australia. Sierra Rutile segment comprises of the integrated mineral sands mining and processing operations in Sierra Leone. Mining Area C segment comprises a deferred consideration iron ore royalty interest over certain mining tenements. United States/Murray Basin segment comprises of rehabilitation obligations in the United States and assets located in Australia.",2021-02-12,7.02,10.58,4.88,7.72,0,2392387,0,3023,3.84,3.95,0.36,14.81,1.86,2960,419.52,645.76,422.77,0.43,1.13,-24.51,32.57,-13.2,-32.98,"9"
"40","IMD.AX","Imdex Limited","Imdex Limited is an Australia-based mining technology company. The Company develops cloud-connected sensors and drilling optimization products to manage the process of identifying and extracting mineral resources for drilling contractors and resource companies globally. Its brands include AMC and REFLEX. The Company’s technologies include downhole instrumentation, data management and analytical software for geological modelling. AMC develops, manufactures and supplies a range of drilling fluids and specialty products. The Company’s solutions include downhole navigation, structural geology, in-field geoanalysis, driller operable geophysics and drilling optimization. The Company’s IMDEXHUB-IQ is a cloud-based Web portal that collects, stores and provides operational data in real-time. Its REFLEX GYRO SPRINT-IQ is a downhole navigation device, which is used to survey boreholes. Downhole survey data collected can be transferred to IMDEXHUB-IQ to be accessed real time.",2021-02-12,1.93,1.98,0.76,1.41,0,843900,46.67,777.05,3.32,13.92,0.15,21.95,0.59,752.85,380.99,50.75,396.45,14.28,0.89,7.15,12.29,-2.7,7.45,"8"
"41","IPL.AX","Incitec Pivot","Incitec Pivot Limited is engaged in the manufacture and distribution of industrial explosives, industrial chemicals and fertilizers, and the provision of related services. The Company segments include Asia Pacific, Americas and Corporate. Its Asia Pacific segment includes Incitec Pivot Fertilizers (IPF), Southern Cross International (SCI) and Dyno Nobel Asia Pacific (DNAP). IPF manufactures and distributes fertilizers in Eastern Australia. SCI manufactures ammonium phosphates and is a distributor of its manufactured fertilizer product to wholesalers in Australia and the export market. DNAP manufactures and sells industrial explosives and related products and services to the mining industry in the Asia Pacific region and Turkey. Its Americas segment includes Dyno Nobel Americas (DNA), which manufactures and sells industrial explosives and related products and services to the mining, quarrying and construction industries in the Americas (the United States, Canada, Mexico and Chile).",2021-02-12,2.64,3.2,1.56,2.2,0,6658173,36.9,5089,0.98,10.49,0.33,40.71,2.68,6480,1940,245.06,1940,0.12,1.32,3.1,7.75,-4.2,2.49,"10"
"42","JHX.AX","James Hardie","James Hardie Industries Plc is a manufacturer of fiber cement products and systems for internal and external building construction applications. Its operating segments are North America and Europe Fiber Cement, and Asia Pacific Fiber Cement. It manufactures a range of fiber cement building materials for both internal and external use across a range of applications, including: external siding, internal walls, floors, ceilings, soffits, trim, fencing, decking and facades. In the United States and Canada, the largest application for fiber cement building products is in external siding for the residential building industry. The external siding market includes various cladding types, including fiber cement, vinyl, natural wood, hardboard, brick, stucco and stone. In the Asia Pacific region, it principally sells into the Australian, New Zealand and Philippines markets, with the residential building industry representing the principal market for fiber cement products.",2021-02-12,40.7,43.65,12.54,34.71,0,1048061,108.55,18322,14.34,26.72,1.36,104.65,2.88,19060,443,506.09,444.17,10.17,0,6.17,20.84,19.8,14.64,"12"
"43","JRL.AX","Jindalee Resources","Jindalee Resources Limited is a mineral exploration company. The Company holds interests in tenements in Tasmania prospective for magnesite and in Western Australia for gold, diamonds, base metals and iron ore. The Company also holds indirect interests in uranium, gold and base metals through investee companies. The Company's projects include Aries Project, Arthur River Project and Joyners project. The Aries Project is located in the Kimberley region of Western Australia, approximately 270 kilometers east of Derby and over 230 kilometers west of the Argyle diamond mine. The Joyners project is located approximately 40 kilometers west of Wiluna in Western Australia and covers the eastern part of the Joyners Find greenstone belt. The Company's subsidiaries include Eastmin Pty Limited and Awesomous Pty Ltd.",2021-02-12,1.5,2.18,0.23,0.69,0,48512,0,63.62,10.29,-126.53,0.03,2.56,0.14,61.35,13.37,-1.47,44.8,72.44,0,0,-9634.79,-76.6,-5.04,"5"
"44","KPT.AX","Kangaroo Island Plantation Timbers","Kangaroo Island Plantation Timbers Limited is an Australia-based company, which manages a portfolio of hardwood and softwood forestry plantations, growing on former agricultural land on Kangaroo Island, South Australia. The Company operates through forestry management segment, which primarily involves the management of timber plantations and milling operations. The Company owns approximately 8,000 hectares of productive Kangaroo Island land, approximately half of which is planted with either softwood (radiata pine) or hardwood (eucalyptus globulus and eucalyptus nitens) and over half of which is either cleared or contains native vegetation. The Company also owns Kangaroo Island's only sawmill and owns land at Smith Bay, which is suitable for the development of a log or chip export facility. The Company's subsidiaries include Cineria Pty Ltd and APR Pty Ltd.",2021-02-12,1.02,1.96,0.7,1.05,0,16538,0,56.41,0.5,-7.63,0.15,0,2.01,47.89,39.97,-37.73,56.41,25.13,0,0,-5107.14,-70.5,-26.94,"5"
"45","KLA.AX","Kirkland Lake Gold Ltd","Kirkland Lake Gold Ltd is a Canada-based gold mining, development and exploration company. It has a diversified portfolio of assets located in the stable mining jurisdictions of Canada and Australia. The Company’s main gold mines are: the Macassa Mine located in northeastern Ontario, Detour Lake mines in Northern Ontario and the Fosterville Gold Mine located in the State of Victoria, Australia. In addition, the Company owns the Holt Mine and the Taylor Mine, which are situated along the Porcupine-Destor Fault Zone, in northeastern Ontario, the Cosmo Gold Mine located in the Northern Territory, Australia and the Stawell Gold Mine located in the State of Victoria, Australia. The Company’s subsidiaries include Crocodile Gold Inc, Detour Gold Corporation and Franc-Or Resources Peru SA.",2021-02-12,50.2,80.5,38.44,64.21,0,5017,17.68,13171,2.77,8.72,3.11,0.53,18.06,12880,272.84,550.68,267.02,0,0.87,33.21,53.75,65.9,22.1,"11"
"46","LLO.AX","Lion One Metals","Lion One Metals Limited is engaged in the business of acquiring, exploring, and developing mineral properties. The Company has non-material exploration properties, including a tenement interest in the Olary Creek iron project in South Australia, and over two exploration properties covering over 27,490 hectares within two special prospecting licenses on the island of Vanua Levu in Fiji. Its primary asset is the Tuvatu Gold Project located near Nadi on the island of Viti Levu, Fiji. Its Mineral Resources Department (MRD) of Fiji has granted Special Mining Lease 62 (SML 62) on the Tuvatu project to the Company. The Fijian Islands are located along the Pacific Island Arc, which hosts various mineral epithermal gold deposits systems, such as the Lihir, Porgera, Ok Tedi, and Wafi-Golpu gold deposits in Papua New Guinea. The Olary Creek Project is located in South Australia over 70 kilometers (km) southwest of Broken Hill, New South Wales, and over 40 km south of the Barrier Highway.",2021-02-12,1.6,0,0,0,0,9758,0,233.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6"
"47","LYC.AX","Lynas Rare Earths Limited","Lynas Rare Earths Limited, formerly Lynas Corporation Ltd, is a Malaysia-based company engaged in integrated extraction and processing of rare earth minerals, primarily in Australia and Malaysia, and development of rare earth deposits. The Company’s assets include Mt Weld, Mt Weld Concentration Plant and Lynas Malaysia. Mt Weld is a rare earths mine, located approximately 35 kilometer (km) south of Laverton in Western Australia. Mt Weld Concentration Plant is located approximately 1.5km from the mine site. Lynas Malaysia is an integrated manufacturing facility, separating and processing rare earths materials, located in the Gebeng Industrial Estate near the Port of Kuantan in Malaysia. Its subsidiaries include Lynas Malaysia Sdn Bhd and Lynas Services Pty Ltd.",2021-02-12,5.03,5.69,1.02,3.19,0,8387315,0,4857,7.27,0,0.14,38.96,0.74,3870,678.24,14.33,901.08,3,0,-6.36,-4.43,-32,-3.68,"10"
"48","MLD.AX","MACA Limited","MACA Limited is an Australia-based company, which is engaged in contracting of mining and civil services to the mining and resources industry. The Company's segments include Mining and Civil. It operates through two businesses and two geographical segments, being the provision of civil and contract mining services throughout Australia and mining services to the mining industry in Brazil, South America. Its mining business specializes in providing mining and crushing services predominantly to mid-size mining projects across a range of commodities. Through its civil construction and asset maintenance businesses, the Company provides a range of civil infrastructure and maintenance services to government and private organizations. Its mining services and civil construction group provides open pit contracting services to the mining industry, including loading and hauling, drilling and blasting, crushing and screening and civil infrastructure services to public and private industry.",2021-02-12,1.33,1.51,0.49,1.01,0,1323501,0,487.85,1.19,11.96,0.45,60.74,1.14,435.26,219.89,87.42,360.04,16.35,3.69,-2.25,1.41,0,1.12,"7"
"49","MAU.AX","Magnetic Resources NL","Magnetic Resources NL is an Australia-based mineral exploration company. The Company is engaged in exploring mineral tenements in Western Australia. The gold tenements held by the Company include Mount Jumbo EL38/3100 and P38/4201 (approximately 20 square kilometers (sq.km)), Kowtah P39/8694-8697 and P39/5617 (nine sq.km), Hawks Nest E38/3127 (approximately 150 sq.km), Mertondale E37/1258 (over 80 sq.km) and Christmas Well P37/8687-8694 (approximately 10 sq.km). Its projects also include Nambi E37/1303, Raeside E37/1304, Raeside East P37/8905-08, Braiser P37/8909-12 and Trigg P37/8913-21. The Mount Jumbo gold rich shear straddles EL38/3100 and ELA38/3127, and totals over 1.3 kilometers in length. The Mount Jumbo and Hawks Nest tenements are approximately 10 kilometers and 20 kilometers north of the Wallaby deposit, respectively. The Company holds a retention license over the Jubuk projects. The Company holds a royalty over gold rights at Lake Seabrook E70/2935.",2021-02-12,1.43,1.71,0.35,1.29,0,41213,0,311.29,75.79,-64.56,0.02,0.36,0.02,299.69,66.27,-5.47,216.17,68.58,0,0,-163048.11,59.8,-102.49,"7"
"50","MIN.AX","Mineral Resources Limited","Mineral Resources Ltd is an Australia-based mining services company. The Company owns a portfolio of mining operations across lithium and iron ore. It provides mining services through CSI Mining Services and Process Minerals International (PMI). Its services include open pit mining, crushing, processing, supply chain services, port operations, site services and marketing and shipping. It operates mine sites in the Pilbara and Goldfields regions of Western Australia, including Iron Valley, Koolyanobbing, Wodgina and Mt Marion. Iron Valley is located in the Pilbara region. Iron Valley and Koolyanobbing sites are focused on iron ore and Wodgina and Mt Marion is focused on lithium. The Company also has a commodities portfolio located in the Pilbara and Yilgarn regions in Western Australia. Its commodities portfolio includes iron ore, lithium and graphite.",2021-02-12,35.97,41.19,12.11,29.88,0,0,0,0,2.63,6.62,5.91,44.45,14.04,7050,163,-143.61,188.6,16.6,4.91,23.92,34.52,55.1,26.11,"-Inf"
"51","NCM.AX","Newcrest Mining","Newcrest Mining Limited is a gold producer. The nature of operations and principal activities of the Company are exploration, mine development, mine operations and the sale of gold and gold/copper concentrate. Its assets include Cadia, Telfer, Lihir, Gosowong, Red Chris and Wafi-Golpu. The Cadia asset is located approximately 25 kilometers (kms) from Orange, New South Wales (NSW). The Telfer asset is located approximately 400 kms from Port Hedland, Western Australia (WA). The Company’s Lihir asset is located on the Aniolam Island, 900 kms from Port Moresby, Papua New Guinea (PNG). The Company’s Gosowong asset is located approximately 2,450 kms from Jakarta, Indonesia. The Red Chris asset is located approximately 1,700 kms from Vancouver, Canada. The Wafi-Golpu asset is located approximately 65kms from the city of Lae, PNG.",2021-02-12,25.96,38.15,20.7,30.22,0,3276800,21.38,20969,2.18,9.79,2.27,21.56,11.8,21150,800.51,794.63,816.56,0.27,1.25,22.4,33.67,21.3,11.15,"12"
"52","NIC.AX","Nickel Mines Limited","Nickel Mines Ltd is an Australia-based company that is focused on producing nickel pig iron (NPI). The Company, through its subsidiary PT Hengjaya Mineralindo, owns the Hengjaya Mineralindo Nickel Mine (HM Mine). The HM Mine is located in the Morowali Regency of the east coast province of Central Sulawesi, Indonesia. The HM Mine covers an area of approximately 6,200 hectares.",2021-02-12,1.2,1.42,0.3,0.89,0,8513894,18.91,3282,4.64,14.49,0.04,7.39,0.28,2780,1140,0,2520,44.65,0,23.94,33.69,0,0,"9"
"53","NST.AX","Northern Star Resources","Northern Star Resources Ltd is an Australia-based gold producer. The Company’s projects are located in Australia and North America. Its assets include Jundee, Kalgoorlie operations, Pogo and Tanami. The Jundee Operation is located in the Northern Goldfields region of Western Australia around 45 kilometers (kms) northeast of Wiluna and approximately 520 kms north of Kalgoorlie. Kalgoorlie operations include Kanowna Belle mine site is situated in the Eastern Goldfields of Western Australia; Kundana underground gold mining project located in the Eastern Goldfields of Western Australia and South Kalgoorlie Operations located within the Eastern Goldfields Superterrane. The Pogo Operation is located 145 kms southeast of Fairbanks, Alaska and is situated in the Tintina Gold Province. The Tanami project operations are located approximately 650 kilometres northwest of Alice Springs and 850 kilometres southwest of Darwin.",2021-02-12,12.06,17.03,8.85,14.16,0,4458485,27.28,13519,4.11,9.85,0.43,22.35,2.83,8760,734.52,156.85,1160,1.64,1.6,14.01,23.66,34.4,15.75,"11"
"54","NUF.AX","Nufarm","Nufarm Limited is a developer and manufacturer of crop protection solutions and seed technologies. Seed technologies combines its seed treatment portfolio and the Nuseed business. Its seed treatment products provide protection and treatment for damage caused by insects, fungus and disease. Through Nuseed it develops and distributes yielding sunflower, sorghum and canola seed to customers in over 30 countries. It develops, manufactures and sells crop protection solutions including herbicides, insecticides and fungicides that help growers protect crops against weeds, pests and disease. It operates primarily in the off-patent market, providing customers with longstanding foundational products and formulations. Its crop protection business is focused on five core crops across key geographies. Its key crops are cereals; corn; soybean; pasture, turf and ornamentals; and trees, nuts, vines and vegetables. Its geographical segments are Europe, North America, Asia Pacific and Latin America.",2021-02-12,4.68,6.09,3.37,4.11,0,1423828,0,1770,0.98,-6.45,1.81,52.61,4.74,2450,285.04,0,379.75,19.29,1.29,-34.17,-31.31,18,0,"9"
"55","OGC.AX","OceanaGold Corporation","OceanaGold Corp is a Canada-based gold producer. The Company’s operating assets include: the Didipio Mine on Luzon Island in the Philippines; the Macraes Operations in the South Island of New Zealand, the Waihi Gold Mine in the North Island of New Zealand and Haile Gold Mine in South Carolina, United States of America. Its segments include New Zealand, the Philippines and the United States. Its Haile Gold Mine is an open pit gold mine, located along the eastern coast of the United States in the state of South Carolina. Didipio is an underground gold and copper mine located on the island of Luzon in the Philippines. Macraes Goldfield is a gold producing operation. Its Waihi Gold Mine in the North Island of New Zealand is an underground and open pit operation.",2021-02-12,2.24,4.29,1.46,2.62,0,984573,0,1594,0.98,18.89,0.2,22.21,2.27,1580,620.4,75.79,703.99,0,0,-30.06,-31.36,-26.7,-9.86,"9"
"56","ORI.AX","Orica","Orica Limited is engaged in the manufacture and distribution of commercial blasting systems, including technical services and solutions, mining and tunneling support systems to the mining and infrastructure markets, and various chemical products and services. The Company’s segments include Australia Pacific & Asia, North America, Europe, Middle East & Africa, Latin America, Minova, Orica Monitor, Global Support and Eliminations. The Orica Monitor segment comprises GroundProbe and Nitro Consult businesses. The Company is a provider of commercial explosives and blasting systems to the mining, quarrying, oil and gas and construction markets, a supplier of sodium cyanide for gold extraction, and a specialist provider of ground support services in mining and tunneling. It serves the civil construction industry through three brands: Orica, Nitro Consult and Minova, providing industry products and services.",2021-02-12,15.3,22.75,13.25,16.39,0,1075208,36.18,6226,1.98,10.55,2.27,95.41,7.73,8350,403.37,-338.88,405.88,0.96,2.17,2.99,9.41,-10.4,5.72,"10"
"57","ORE.AX","Orocobre Limited","Orocobre Limited is engaged in the operation of lithium business and development the of lithium deposits. The principal activities of the Company are the production and development of industrial chemicals in Argentina. It also includes the operations of Borax. It has three reportable segments, being Corporate, the Olaroz project and Borax. Its Olaroz Lithium Facility is located in the Puna region of Jujuy Province in northern Argentina, over 230 kilometers northwest of the capital city of Jujuy. Borax Argentina operates its open-pit mines in Tincalayu and Sijes. Borax Argentina produces products, including minerals, such as ulexite, colemanite and hydroboracite; refined products, such as borax decahydrate, borax pentahydrate and borax anhydrous, and boric acid. Its refined products has applications in a range of markets from agriculture, ceramics, glass, insulation fiberglass, textile fiberglass, smelting fluxes and other specialty applications.",2021-02-12,4.87,6.06,1.83,3.47,0,2142592,0,1823,2.44,-82.23,0.62,37.6,2.17,1640,214,-112.41,344.04,16.84,0,-67.45,-46.59,-60.9,-9.42,"9"
"58","ORA.AX","Orora","Orora Ltd is an Australia-based company that provides a range of packaging solutions and displays. The Company operates through two segments: Orora Australasia and Orora North America. Orora Australasia segment focuses on the manufacture of beverage packaging products within Australia and New Zealand. The products manufactured by this segment include glass bottles, beverage cans and wine closures. Orora North America segment, which is predominately located in North America, purchases, warehouses, sells and delivers a wide range of packaging and other related materials. The business also includes integrated corrugated sheet and box manufacturing and equipment sales capabilities and point of purchase retail display solutions and other visual communication services. The Company also offers packaging solutions and complementary services, including global product sourcing, distribution, design, printing and warehouse optimization.",2021-02-12,2.81,3.84,2.19,2.53,0,2675017,11.3,2574,2.61,10.58,0.11,65.78,1.07,3270,961.72,130.93,922.42,0.43,6.07,6.73,6.29,-29.5,2.06,"9"
"59","OZL.AX","OZ Minerals","OZ Minerals Limited is an Australia-based mining company with a focus on copper. The Company’s operations include Prominent Hill, Carrapateena, West Musgrave, Antas, Pedra Brance and CentroGold. Prominent Hill is engaged in mining copper, gold and silver from Prominent Hill Mine, a combined open pit and underground mine located in the Gawler Craton of South Australia. Carrapateena is engaged in exploration and evaluation activities associated with Carrapateena project located in South Australia. West Musgrave project is located in the Musgrave Province of Western Australia and includes the Nebo-Babel nickel-copper and Succoth copper deposits. Antas is a high-grade open pit copper-gold mine located in the Carajas, Brazil.",2021-02-12,19.24,21.23,5.83,16.03,0,1419417,33.91,6782,2.25,16.44,0.35,12.01,9.28,6740,316.33,-213.28,331.29,1.92,1.15,15.81,22.09,37.3,6.78,"10"
"60","PGH.AX","Pact Group Holdings","Pact Group Holdings Limited manufactures packaging and other products. The Company's principal activities are the conversion of plastic resin and steel into rigid packaging and other products that service customers in various sectors, including food and beverage, personal care, household consumer, industrial and chemical, and materials handling and infrastructure. It also provides a range of services, including outsourced manufacturing, filling and packing, and a range of sustainability, recycling and environmental services. Its segments include Pact Australia and Pact International. The Pact Australia segment manufactures and supplies rigid plastic and metal packaging and associated services. The Pact International segment is engaged in providing contract manufacturing and packing services, and recycling and sustainability services. The Pact International segment is also engaged in manufacture and supply of materials handling products and the provision of associated services.",2021-02-12,2.67,2.83,1.25,2.42,0,0,0,911.58,2.45,8.45,0.22,309.36,1.08,1990,163.38,127.71,343.99,48.2,1.13,4.91,8.45,0.6,25.56,"8"
"61","PM8.AX","Pensana Metals Ltd",NA,2021-02-12,1.54,2.1,0.1,1.15,0,408155,0,352.16,19.02,-75.08,0.02,0,0.09,309.67,117.72,-3.65,203.65,51.89,0,0,0,0,-30.5,"7"
"62","PRN.AX","Perenti Global Limited","Perenti Global Ltd, formerly Ausdrill Ltd, is an Australia-based global mining services company. The Company is engaged in the business of surface mining, underground mining and mining support services. Its segments include Surface Mining, Underground Mining and Investments. Surface Mining segment includes provision of mining services, including drilling and blasting, in-pit grade-control, logistics, exploration drilling, earthmoving and hydrological well drilling in Australia and Africa. Underground Mining segment includes provision of underground mining services in Australia, Africa and India. Investments segment includes the provision of mining supplies, products and services, including equipment rental, equipment parts and sales, the provision of energy drilling and mineral analysis.",2021-02-12,1.43,1.6,0.45,1.25,0,2665681,42.86,1052,0.75,4.4,0.47,63.14,1.99,1610,620.74,133.48,704.24,14.55,4.71,1.16,6.42,2.5,1.96,"8"
"63","PRU.AX","Perseus Mining","Perseus Mining Limited is engaged in mining operations and sale of gold, mineral exploration and gold project evaluation and development in the Republics of Ghana and Cote d'Ivoire, in West Africa. Its segments include Edikan, Sissingue, Yaoure, and Corporate or Other. Edikan segment is engaged in mining, mineral exploration, evaluation and development activities. Sissingue segment is also engaged in mining, mineral exploration, evaluation and development activities. Yaoure segment is engaged in mineral exploration, evaluation and development activities. Edikan Gold Mine is a producing gold mine located in Ghana. The Sissingue Gold Mine is located in the north of Cote d’Ivoire and lies within the Sissingue exploitation permit that covers an area of 446 square kilometers. Yaoure is located in central Cote d’Ivoire, 40-kilometer northwest of Yamoussoukro, the political capital, and 270 km northwest of Abidjan.",2021-02-12,1.19,1.66,0.63,1.33,0,7391466,15.63,1515,1.66,5.77,0.19,25.07,0.74,1450,1140,-33.06,1230,3.59,0,15.96,19.13,39.6,11.38,"9"
"64","RMS.AX","Ramelius Resources","Ramelius Resources Limited is engaged in exploration, mine development, mine operations, the sale of gold and milling services. The Company's segments include Mt Magnet, Burbanks and Exploration. The Company's operational projects include Mt Magnet Mine, Kathleen Valley Mine and Vivien Mine. Its development projects include Blackmans and Water Tank Hill. Its exploration projects include Milkyway, Boorgardie Basin and Tanami Joint Venture Gold Project. The Mt Magnet gold project is located adjacent to the town of Mt Magnet, approximately 500 kilometers north-east of Perth in the Murchison Goldfield of the Western Australian Yilgarn Craton. The Blackmans gold project is located approximately 30 kilometers north of Mt Magnet, in Western Australia. The Water Tank Hill project lies over 1.5 kilometers west of Mt Magnet, in Western Australia. The Milkyway gold project is located approximately 3.6 kilometers southwest of the processing plant at Mt Magnet, Western Australia.",2021-02-12,1.42,2.53,0.76,1.95,0,5847051,8.63,1131,2.18,4.23,0.21,10.47,0.64,1040,770.61,80.54,814.02,4.12,1.39,24.63,32.71,76.8,28.56,"8"
"65","RND.AX","Rand Mining","Rand Mining Limited is engaged in exploration, development and production activities at East Kundana Joint Venture tenements. Rand's East Kundana Joint Venture is located over 25 kilometers west, North West of Kalgoorlie and over 50 kilometers northeast of Coolgardie. The Company, from its mining at Raleigh, extracted over 155,560 tons of ore from stopes on 5864, 5847, 5795, 5761, 5722, 5705, 5654, 5631 and 5614 levels and from development on the 5949, 5932, 5915, 5898, 5881 and 5830 levels of the Skinners structure at the Raleigh underground mine. The Company, from its mining at Rubicon/Hornet/Pegasus, extracted over 761,480 tons of ore from stopes on the 6055 to 5975 levels and development on the 5995 to 5935 levels of the Rubicon ore body; from stopes on the 6005 to 5865 levels and development on the 5885 to 5785 levels of the Hornet ore body and from stopes on the 6170 to 6030 levels and development on the 6210 to 6170 and 6090 to 5970 levels of the Pegasus ore body.",2021-02-12,1.75,2.44,1.5,2.08,0,6735,0,105.26,1.22,49.71,0.09,2.2,1.43,101.52,40.06,-43.09,60.15,77.59,5.71,-54.71,-96.43,13928.5,-1.71,"5"
"66","RRL.AX","Regis Resources","Regis Resources Ltd is an Australia-based gold production and exploration company. The Company id focused on developing mid-sized gold operations within Australia and Africa. It operates through two reportable segments which comprise the Duketon Gold Project; being Duketon North Operations (DNO), comprising Moolart Well, Gloster, Anchor and Dogbolter, and Duketon South Operations (DSO), incorporating Garden Well, Rosemont, Erlistoun and Tooheys Well. Its Duketon Gold Project is located approximately 130 kilometers (km) north of Laverton in Western Australia. Its Garden Well project is an open pit operation with a standalone mill. Garden Well is located approximately 30 km from the Moolart Well Gold Mine. Rosemont gold project is located approximately nine km north-west of the Garden Well Gold Mine. Its McPhillamys Gold Project is located approximately 35 kilometres south east of the town of Orange.",2021-02-12,3.47,6.18,2.9,4.62,0,3132865,8.88,1782,2.12,4.06,0.38,4.54,1.64,1620,502.93,42.82,512.03,0.73,4.57,26.37,38.25,14.1,25.72,"9"
"67","RIO.AX","Rio Tinto","Rio Tinto Limited (Rio Tinto) is a mining company. The Company is focused on finding, mining and processing of mineral resources. Its segments include Iron Ore, Aluminum, Copper & Diamonds, Energy & Minerals, and Other Operations. Its products include aluminum, copper, diamonds, gold, industrial minerals (borates, titanium dioxide and salt), iron ore and thermal and metallurgical coal. The Iron Ore product group's operations are located in the Pilbara region of Western Australia. The Company's business includes bauxite mines, alumina refineries and a range of aluminum smelters. The Copper & Diamonds product group has managed operations in Australia, Canada, Mongolia and the United States, and non-managed operations in Chile and Indonesia. The Energy & Minerals has operations across six sectors: borates, coal, iron ore concentrate and pellets, salt and titanium dioxide.",2021-02-12,117.35,127,72.77,104.37,0,1329187,27.92,199110,5.07,11.65,5.53,31.56,24.25,208270,1420,7490,1250,0.9,3.26,17.21,30.08,-6.6,17.04,"14"
