"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","shares_outstanding_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent","return_on_equity_ttm_percent"
"72","AUC.AX","Ausgold Limited","Ausgold Limited is an exploration and development company. The Company is engaged in the exploration of gold and other precious metals. The Company's projects include Katanning Gold Discovery, Katanning Regional Project, The Cracow project, The Yamarna project and Doolgunna project. The Katanning Gold Project is located approximately 275 kilometers southeast of Perth and over 40 kilometers northeast from the wheatbelt town of Katanning. It holds a tenement position of approximately 7,500 square kilometers in south Western Australia. The Cracow project is located over 375 kilometers northwest of Brisbane. It holds tenements of approximately 500 square kilometers in the Cracow region. The Yamarna project is located over 125 kilometers north-east of Laverton in central Western Australia on exploration licenses (EL) 38/2129 and 38/2863. Its Doolgunna mineral field is located in Western Australia's Bryah Basin. Its EL 52/3031 covers approximately 190 square kilometers.",2021-02-12,0.06,0.06,0.01,0.05,250,3040635,0,70.22,1.38,-60.57,0,0.4,0.04,69.32,892.33,-2.88,1300,32.34,0,0,-297441.09,-62.2,-4.33
"73","AMG.AX","Ausmex Mining Group Limited","Ausmex Mining Group Limited, formerly Eumeralla Resources Limited, is an Australia-based mineral exploration company. The Company’s principal objective is acquiring assets to explore for and develop iron oxide, gold and copper (IOGC) or porphyry deposit funded by low-risk gold production resources. Its projects are located in two regions: Queensland and South Australia. It has a license covering approximately 970 square kilometer (km) prospective for gold/copper in the Mount Bryan-Red and Banks-World’s End area near Burra in South Australia. Its Queensland projects include Evening Star IOCG/ Oxide Project, Flamingo IOCG Project, Gilded Rose Gold Project, Morris Creek IOCG Project, and Mt Freda Gold Project. The Gilded Rose Project is located approximately 15 km east-southeast of Cloncurry. Mt Freda Gold Project lies approximately 40 km southeast of Cloncurry. The Evening Star Project is located approximately 40 km southeast of Cloncurry.",2021-02-12,0.06,0.07,0.03,0.05,26,1853721,0,34.64,4.5,-4.51,0.01,7.92,0.01,26.83,255.94,-5.07,549.86,47.38,0,0,-577.7,0,-89.87
"74","AOA.AX","Ausmon Resources","Ausmon Resources Limited is an Australia-based mineral exploration company. The Company is engaged in carrying out exploration in minerals tenements with a focus on gold, silver, copper and other base metals. The Company is also seeking new projects. The Company holds interest in approximately three ELs, EL 6400, EL 6424 and EL 6464, covering a total area of over 299 square kilometers in the Koonenberry Belt of western New South Wales. It holds interest in ELs 6413 and 7564, and ELA 5203. Its EL 6400 contains the Grasmere-Peveril copper-zinc-silver (Cu-Zn-(Ag)) deposits. Its EL 6424 covers the Wertago copper diggings and Nutherungie silver field. Its ELs 6413, 8424 and 7564 at Pooraka, approximately 50 kilometers east of Cobar, contains various gold and base metal target areas. The Company has not generated any revenues.",2021-02-12,0.01,0.01,0,0.01,300,5791610,0,5.06,7,-12.65,0,0,0,4.04,328.74,-0.01,723.16,51.15,0,0,0,0,-89.85
"75","AQD.AX","AusQuest Limited","AusQuest Limited is engaged in the mineral exploration throughout Australia, Africa and Peru. The Company's segments include Australia, Africa and South America. Its projects include Balladonia Nickel-Copper Project, which is located approximately 50 kilometers south of the Nova-Bollinger nickel-copper deposit; Gibson Soak Nickel-Copper Project, which is located over 30 kilometers north of the port of Esperance, within the broader Fraser Range terrain; Jimberlana Nickel-Copper Project, which is located approximately 120 kilometers west of the Norseman between the Lake Johnston and Forrestania Greenstone belts; Glenayle Nickel-Copper Project, which is located over 350 kilometers north-east of Wilunga; Blue Billy Zinc Project, which is located approximately 100 kilometers south-west of Paraburdoo within the Edmund Basin in the Pilbara region of Western Australia, and Banfora Joint Venture Project, which is located near the town of Banfora in south-west Burkina Faso, West Africa.",2021-02-12,0.02,0.04,0.01,0.02,145.45,1764518,0,16.93,2.5,-25.08,0,0.67,0.01,14.26,397.95,-5.95,677.33,42.1,0,-192.07,-357.88,0,-15.88
"76","AUL.AX","AuStar Gold Limited","AuStar Gold Limited, formerly Mantle Mining Corporation Limited, is an Australia-based gold miner with its projects located in Queensland and Victoria. The Company holds interest in various gold projects, which include Morning Star Gold Project, Norton Gold Project, Granite Castle Project and Charters Towers Project. The Company also holds interest in various coal projects, which include Bacchus Marsh Project and Latrobe Valley Project. The Company holds interest in Morning Star Gold NL, which in turn owns the Morning Star project. The Morning Star gold mine is located near the town of Woods Point approximately 120 kilometers northeast of Melbourne. The Norton Mine is located approximately 100 kilometers south of the port city of Gladstone, Queensland. The Charters Towers Gold Project is located around the township of Charters Towers in north Queensland. Granite Castle is located approximately 260 kilometers west of Townsville and approximately 120 kilometers north of Hughenden.",2021-02-12,0.35,0.36,0.16,0.28,16.33,104310,0,12.04,0,-10.59,0.01,0,-0.02,12.94,16.3,-1.54,33.9,41.13,0,-24.05,-20.56,37.6,0
"77","APG.AX","Austpac Resources NL",NA,2021-02-12,0,0,0,0,-50,210383,0,3.17,1,9.28,0,18.29,0,3.42,1950,-0.01,3170,41.32,0,-14.58,21.52,0,-11.61
"78","AGD.AX","Austral Gold","Austral Gold Limited is an Australia-based gold and silver mining, development and exploration company. The Company is building a portfolio of assets in Chile, the United States and Argentina. The Company's projects include Guanaco project, Amancaya project, Casposo project, and Santa Cruz project. The Company produces gold and silver from its Guanaco and Amancaya mines in Chile. The Company also owns the Casposo mine in San Juan, Argentina which is on care and maintenance. In addition, the Company holds a portfolio of exploration projects including the Pinguino project in Santa Cruz, Argentina; Paleocene Belt in Chile; and the San Guillermo and Reprado projects within the Amancaya district.",2021-02-12,0.2,0.41,0.1,0.23,73.91,255570,8,120.31,1.94,2.6,0.02,22.36,0.1,114.72,59.29,24.02,601.55,89.74,6.5,14.86,31.46,-10.2,26.53
"79","AYM.AX","Australia United Mining Limited","Australia United Mining Limited is an Australia-based gold production and exploration company. The principal activities of the Company consist of exploration and development activity on its tenements in New South Wales and Queensland. The Company operates in two segments: Forsayth Project (Queensland) and NSW Exploration Licences. The Forsayth Project (Queensland) segment includes its Forsayth Project. The Company holds interest in approximately two mining leases and an exploration permit for minerals covering a range of gold reefs. In New South Wales, the Company has approximately four exploration licenses (ELs) in the Lachlan Fold Belt. The Company carries out exploration for, and development of gold associated minerals. In New South Wales, the Company holds interest in Honeybugle Project EL7041, Puggoon Project EL7155, Sofala Project EL7423 and Karangi Project EL8402, which cover an area of approximately 357 square kilometers.",2021-02-12,0.01,0.06,0,0.01,500,633431,0,18.43,5,0,0,30.57,0,19.32,715.07,-0.56,1840,94.81,0,0,-303.12,87.9,-4.44
"80","ABX.AX","Australian Bauxite Limited","Australian Bauxite Limited (ABx) is a bauxite explorer, producer and mining company. The Company's principal activities include bauxite exploration and development programs in Queensland, New South Wales and Tasmania. The Company operates in the mineral, exploration and development of resources in Australia. It holds approximately 30 bauxite tenements in Queensland, New South Wales and Tasmania exceeding over 5,000 square kilometers. Its projects include Binjour Project, Goulburn and Tasmanian Project. The Company is operating its first mine at the Bald Hill Bauxite project in Tasmania. It also focuses on mines, including Fingal Rail and DL130. Fingal Rail, the second planned ABx Tasmanian mine, which is close to Campbell Town (approximately 10 kilometers North). DL-130, the third planned ABx mine located in Tasmania, which is within approximately 70 kilometers of the Bell Bay Export Port.",2021-02-12,0.1,0.12,0.07,0.1,-10.91,111840,0,14.43,0.99,0,0,0,0.1,13.46,93.07,-0.66,150.3,31.06,0,0,-1376.38,-98.2,-12.28
"81","AGC.AX","Australian Gold and Copper Ltd",NA,2021-02-12,0.18,0.23,0.16,0.19,-17.07,1062098,0,17,0,0,0,0,0,0,0,0,99.98,0,0,0,0,0,0
"82","AUZ.AX","Australian Mines Limited","Australian Mines Limited is a resource company pursuing in the production and supply of battery and technology metals to global markets. The Company is developing cobalt-scandium-nickel projects in Australia, more sustainable energy sources. Its flagship Sconi project is one of very few large ore bodies of its type in Australia and is also considered the most advanced towards production. All relevant mining and environmental licenses are in place for development of a mining and processing operation. The Pre-Feasibility Study for Sconi was-based on throughput estimated to deliver an annual average production of 3,010 tonnes of cobalt sulphate, 24,420 tonnes of nickel sulphate and 77 tonnes of scandium oxide for at least the first 20 years, with average feed grades being 0.11% cobalt, 0.81% nickel and 109 g/t scandium. It is building a demonstration size cobalt-nickel-scandium processing plant in to fast-frack negotiations with potential off-take customers and project financiers.",2021-02-12,0.02,0.04,0.01,0.02,85.71,21962464,0,99.04,2.5,-29.88,0,1.51,0.01,96.36,3420,-6.68,3960,13.78,0,0,0,0,-9.94
"83","AQC.AX","Australian Pacific Coal","Australian Pacific Coal Limited operates in junior mining and exploration sector. The Company's principal activities include evaluation of coal exploration tenements held in the Bowen, Surat and Galilee basins in Queensland, Australia; identifying exploration opportunities on selected coal tenements, including exploration by way of joint venture agreement, and planning of exploration programs covering selected coal tenements. The Company operates through two segments: Exploration and Evaluation, and Bentonite Mining. The Exploration and evaluation segment seeks to identify prospective resource areas, secure tenure over the relevant tenements and manage the exploration and evaluation process. The Bentonite Mining segment mines bentonite for sale. It operates the Dartbrook Coal Mine, which is located in the coal region of the Hunter Valley, New South Wales. The Company’s other assets include Blackwater, South Clermont, Cooroorah, Dingo and Mt Hillalong.",2021-02-12,0.16,0.37,0.09,0.16,-35,7983,0,6.06,0,-11.25,0.01,0,-0.65,80.09,10.69,-5.02,50.48,76.79,0,0,-2135.63,0,0
"84","APC.AX","Australian Potash Limited","Australian Potash Limited, formerly Goldphyre Resources Limited., is a minerals exploration company focused on advancing its project, the Lake Wells Potash Project. The Company is engaged in exploration of its tenements and applied for or acquired additional tenements. Its Lake Wells Potash Project is located approximately 400 kilometers northeast of the Eastern Goldfields center of Kalgoorlie. The Lake Wells Potash Project is being explored for the fertilizer mineral sulfate of potash (SOP), contained within the lake brines. Its project portfolio includes the gold and base metals prospective Laverton Downs and Mailman Hill projects, and the Beretta project, located in base metals minerals province in the Albany Fraser Orogen. Its Laverton Downs Project is located over 15 kilometers north of the Laverton Township, lying in the Laverton Tectonic Zone. Its Great Central project occupies a portion of Lake Wells Station and Vacant Crown Land.",2021-02-12,0.19,0.2,0.05,0.14,101.03,882190,0,96.43,7.61,-111.73,0.01,1.75,0.02,81.96,297.99,-4.31,551.01,42.61,0,0,-472.54,0,-9.05
"85","ASQ.AX","Australian Silica Quartz Group Ltd","Australian Silica Quartz Group Ltd, formerly Bauxite Resources Ltd, is focused on the acquisition, exploration and development of bauxite minerals deposits in Western Australia. The Company's projects include Darling Range Project, Athena, Dionysus and Ceres. The Darling Range is a bauxite mining and alumina refining region. The Athena resource is located on private landholdings, approximately 120 kilometers south east of Perth, between the townships of Wandering and Pingelly. The Athena deposit is situated on exploration licenses E70/3890 and E70/3180. The Dionysus resource is located on one private landholding, approximately 100 kilometers north east of Perth on exploration license E70/3405. The Ceres deposit is part of the Company's eastern Darling Range project area in south west, Western Australia. The Company has a joint venture with HD Mining & Investments Pty Ltd. to explore for bauxite.",2021-02-12,0.1,0.13,0.03,0.08,203.03,492162,0,26.8,4,-19.58,0.01,0,0.03,18.17,127.03,-0.59,267.99,35.49,0,0,-790.65,1.2,-14.49
"86","ASM.AX","Australian Strategic Materials Limited","Australian Strategic Materials (Holdings) Ltd, formerly Australian Strategic Materials Ltd, is an Australia-based materials technology company. The Company is focused on producing specialty metals and oxides. The Company develops the Dubbo Project. The Dubbo Project represent an in-ground polymetallic resource of zirconium, rare earths, niobium, hafnium, tantalum and yttrium. The Dubbo Project is located near the village of Toongi, approximately 25 kilometers south of Dubbo in Central Western New South Wales, Australia. The Company focuses to produce a suite of zirconium, praseodymium, neodymium, niobium and hafnium materials in the form of chemicals, powders and metals. It operates a plant in South Korea, which produces titanium, neodymium, praseodymium and dysprosium metal.",2021-02-12,5.27,6.84,0.84,3.58,286.43,531330,0,642.87,0,0,0,0,0,0,0,-6.04,119.05,36.92,0,0,-239.94,-96.6,-36.61
"87","AVL.AX","Australian Vanadium Limited","Australian Vanadium Limited, formerly Yellow Rock Resources Limited, is engaged in exploration for vanadium/titanium and other economic resources, the development of vanadium electrolyte production and the sale of vanadium redox flow batteries (VRFB) systems. The Company operates through two segments: Exploration and Energy Storage. The Company's Exploration segment consists of the Gabanintha Vanadium Project and other exploration project. Its Energy Storage segment is engaged in the sale of VRFB systems. The Gabanintha Project is located approximately 40 kilometers south of Meekatharra within the northern Murchison region of Western Australia. The Company has completed a diamond drilling program of over eight holes for approximately 930 meters. The Nowthanna exploration license application MLA 51/771 is located over 50 kilometers southeast of Meekatharra. It also operates Bryah Basin Gold/Base Metals Project.",2021-02-12,0.03,0.04,0.01,0.01,108,15075784,0,76.18,2.36,-23.06,0,0.6,0.01,61.36,2210,-6.37,2930,12.08,0,0,-2046.39,-19.7,-9.82
"88","AUT.AX","Auteco Minerals Ltd","Auteco Minerals Ltd, formerly Monax Mining Limited, is principally engaged in mineral exploration and focuses on copper, lead-zinc, nickel and diamonds in South Australia. The Company has projects located on the Gawler Craton region in South Australia. The Company's projects target a range of commodities, including copper-gold, silver-lead-zinc, nickel and diamonds. Its Punt Hill iron-oxide copper-gold (IOCG) project is located over 130 kilometers north of Port Augusta within the eastern Gawler Craton IOCG Belt. Its Yorke Peninsula portfolio comprises the Webling Bay and Melton IOCG province. The Phar Lap project is located on the western margin of the Mount Woods Inlier within the Olympic IOCG Province. Its Kimberlite Project is centered on the discovery of a kimberlite on Exploration License 5347 located on the northeastern margin of the Gawler Craton. Its Western Gawler Craton (WGC) Project is located over 200 kilometers west of Ceduna within the Fowler Domain of the Gawler Craton.",2021-02-12,0.12,0.23,0.01,0.13,279.31,2308319,0,180.23,28.75,-23.83,0,0,0,175.38,1130,1.54,1570,27.05,0,0,-75696.8,0,-227.67
"89","AEV.AX","Avenira Limited","Avenira Limited, formerly Minemakers Limited, is engaged in the acquisition and development of the Baobab Phosphate Project in the Republic of Senegal (Baobab Phosphate Project). The Company's segments include exploration and development of the Wonarah Phosphate Project in the Northern Territory (Wonarah) located in Australia, and exploration and development of the Baobab Phosphate Project in the Republic of Senegal (Baobab) located in Africa. The Wonarah Phosphate Project hosts contained Phosphorus Pentoxide (P2O5) resources of any known phosphate deposit in Australia. Wonarah is located approximately 1,300 kilometers from the port of Darwin. The Baobab Phosphate Project is located in the Republic of Senegal. Baobab is a phosphate deposits hosted by Eocene rocks of the Senegal Sedimentary Basin. These deposits can be subdivided into two main groups on the basis of age, comprising early Eocene deposits from the Ypresian Epoch and middle Eocene deposits from the Lutetian Epoch.",2021-02-12,0.01,0.03,0,0.02,0,1740493,0,9.49,0.65,-3,0,1.22,0.02,8.29,546.08,8.79,862.85,36.82,0,0,-9475.11,0,-28.28
"90","AVW.AX","Avira Resources Limited","Avira Resources Ltd is a New Zealand-based minerals exploration company. The Company holds two tenements within the Paterson Range province located in the North West of Western Australia. The Company's Paterson Range Project covers rocks of the Paterson Orogen, a Neoproterozoic metamorphosed and deformed sedimentary basin which hosts deposits of gold, copper, tungsten, cobalt and manganese.",2021-02-12,0,0.01,0,0.01,150,5937777,0,8.25,3,-17.39,0,0.32,0,6.47,712.24,-0.29,1380,44.04,0,0,-13619.42,89.9,-68.89
"91","AVZ.AX","AVZ Minerals Limited","AVZ Minerals Ltd is an Australia-based mineral exploration company. The Company is focused on developing the Manono Lithium and Tin Project. Manono Lithium and Tin Project is located in the south of the Democratic Republic of Congo (DRC) in central Africa. The Manono Project comprises PR13359, which covers approximately 188 square kilometers. The Company operates through one operating segment, being exploration in the DRC. The Manono Project has lithium rich lithium, caesium, tantalum (LCT) pegmatite deposits. Its subsidiaries include AVZ International Pty Ltd, AVZ Minerals Congo SARL and AVZ Power.",2021-02-12,0.2,0.23,0.04,0.1,112.77,15780341,0,592.48,7.07,-140.41,0,0.13,0.03,579.46,2020,-11.93,2890,28.39,0,0,-2073.85,0,-6.19
"92","AZS.AX","Azure Minerals","Azure Minerals Limited is an Australia-based exploration and mine development company. Its precious and base metal projects include the Alacran Project (silver-gold-copper), Oposura Zinc-Lead-Silver Project, Andover Nickel-Copper Project, Turner River Gold Project and Meentheena and Coongan Gold Project. The Andover Nickel-Copper Project hosts nickel and copper sulfide mineralization. The Turner River Gold Project comprises two exploration license applications covering 450 square kilometers located south of Port Hedland. The Meentheena and Coongan gold exploration projects are located in the eastern Pilbara. Meentheena is located approximately 80 kilometers (Km) east of Marble Bar and Coongan is located 8km to the west of Nullagine.",2021-02-12,0.45,1.02,0.05,0.43,223.08,2331921,0,104.75,8.5,-14.21,0,31.9,0.04,83.57,127.8,-3.51,308.09,29.36,0,0,-1161.06,1010.8,-88.97
"93","BDC.AX","Bardoc Gold Limited","Bardoc Gold Ltd is an Australia-based company engaged in the identification, exploration, and development of mineral properties. The Company is primarily focused on exploration gold deposits. The Company holds interest in the Aphrodite Gold Project, which consists of five contiguous mining leases located in the Eastern goldfields of Western Australia. It also owns interest in the Mulwarrie Gold Project located in Western Australia, the England Gold Project in the prolific Laverton gold district of Western Australia, South Woodie Woodie Project, Bardoc Gold Project and Mayday and North Kanowna Star Gold Projects.",2021-02-12,0.08,0.1,0.04,0.08,-8.24,3066629,0,137.08,26.33,-9.77,0.01,42.38,0,126.6,1420,-2.2,1740,18.88,0,0,-2243.07,619.9,-771.11
"94","BAR.AX","Barra Resources","Barra Resources Limited is an explorer and producer targeting gold and base metal projects. The Company is engaged in gold, nickel and cobalt exploration, and receiving royalties from production at the Burbanks and Phillips Find projects. It operates in minerals exploration sector in Western Australia. The Company's projects also include Mt Thirsty and Riverina. The Burbanks Project is centered over nine kilometers southeast from Coolgardie, and it consists of the Birthday Gift Mine (encompassing Lady Robinson, Christmas, East and Tom's Pits) and the underground Main Lode Mine. The Mt Thirsty Project is a joint venture between Barra and Conico Ltd, located over 20 kilometers (kms) north-northwest of Norseman, Western Australia. The Phillips Find Project is located over 45 kms north-north west of Coolgardie and approximately 25 kms northwest of the Kundana Gold Mining Centre. The Riverina Project is located approximately 125 kms north of Coolgardie and over 80 kms west of Menzies.",2021-02-12,0.03,0.04,0.01,0.03,31.58,2742263,0,16.94,1.19,-24.25,0,0.9,0.02,16.59,456.57,-1.91,677.61,34.27,0,0,-1047.74,88.2,-6.33
"95","BSE.AX","Base Resources","Base Resources Limited is an Australia-based mineral sands producer. The Company is engaged in the operation of the 100%-owned Kwale Mineral Sands Operation (Kwale Operation) in Kenya. The Company's segments include Kwale Operation and Other operations. The Kwale Operation is located approximately 10 kilometers inland from the Kenyan coast and over 50 kilometers south of Mombasa, the principal port facility for East Africa. The Kwale Operation generates revenue from the sale of rutile, ilmenite and zircon. The project has annual production of approximately 80,000 tons of rutile, over 360,000 tons of ilmenite and approximately 30,000 tons of zircon. The Company's subsidiaries include Base Titanium (Mauritius) Limited, Base Titanium Limited and Base Exploration Tanzania Limited.",2021-02-12,0.28,0.32,0.12,0.27,16,289866,8.64,335.73,0.92,2.26,0.14,20.44,0.31,245.48,691.27,65.67,1170,10.48,8.28,19.03,24.96,16.1,11.59
"96","BSM.AX","Bass Metals","Bass Metals Limited is an Australia-based graphite producer. The Company is principally engaged in the mineral exploration and site care and maintenance activities in Tasmania. The Company is an investor in the operating Graphmada graphite mine in Madagascar. The Graphmada graphite mine is situated in eastern Madagascar, approximately 100 kilometers by sealed highway from the export port of Tamatave. The Graphmada Mine hosts four known deposits. The Graphmada Mine deposits include Loharano deposit, Mahefedok deposit, Mahela deposit and Ambatofafana deposit. The graphite at Graphmada is hosted in both weathered regolith and underlying graphitic gneiss, with the grade of graphitic carbon increasing with depth. It also operates a pegmatite hosted, lithium-in-spodumene project, located in Madagascar.",2021-02-12,0.01,0.01,0,0,16.67,17600982,0,28.15,7,-2.77,0,222.84,0,31.38,2530,-7.38,4020,36.78,0,0,-850.83,-41.1,-154.88
"97","BSR.AX","Bassari Resources","Bassari Resources Limited is an Australia-based company, which is engaged in mineral exploration within Senegal, West Africa. The Company's principal activities are to develop the Makabingui Gold Project, which is located within the Sambarabougou permit and to further progress exploration and resource definition within over three contiguous permit areas, Moura, Sambarabougou and Bounsankoba, located in Senegal in order to identify mineral (primarily gold) deposits for exploitation. The Company is focused on discovering and developing gold resources in the Birimian Gold Belt in south eastern Senegal. The Company's total exploration permits cover an area of approximately 790 square kilometers over the Birimian Gold Belt. The Makabingui Gold Project hosts a mineral resource, which comprises over 11.9 million tons averaging approximately 2.6 grams/ton gold for a contained one million ounces of gold. The Bounsankoba permit adjoins the south of the Sambarabougou permit.",2021-02-12,0.01,0.02,0.01,0.01,-7.14,0,0,31.04,0.62,-8.97,0,38.38,0.02,47.98,1600,-4.24,2390,35.12,0,0,0,0,-22.61
"98","BRL.AX","Bathurst Resources Limited","Bathurst Resources Limited is an Australia-based coal mining company. The Company is engaged in the exploration, development and production of coal. The Company has four operating mines supplying energy to South Island industrial customers: Cascade and Escarpment in the Buller coalfield near Denniston; Canterbury Coal, west of Christchurch, and Takitimu, near Invercargill. Its segments include the Buller Coal segment and the Eastern Coal segment. The Buller Coal segment relates to the mining, development and exploitation of permits in the Buller region of New Zealand. The Eastern Coal segment refers to the Takitimu mine and Timaru coal handling and distribution center. It also has permits covering an area of over 10,000 hectares on the Buller coalfield. It also owns a coal distribution center in Timaru. The Takitimu mine is located near the town of Nightcaps. The Canterbury Coal mine is located over 70 kilometers west of Christchurch. It holds exploration permits at Ohai and Albury.",2021-02-12,0.04,0.1,0.03,0.04,-56,934088,14,71.8,1.31,0,0,23.37,0.03,71.8,1180,0,1710,34.2,0,-100.88,0,-10.9,-51.76
"99","BAT.AX","Battery Minerals Limited","Battery Minerals Ltd, formerly Metals of Africa Ltd, is an Australia-based company engaged in the mineral exploration and assessment of mineral projects. It is focused on developing its graphite projects at Montepuez Central and Balama Central, and the Kroussou lead-zinc project. It operates in mineral exploration within East Africa segment. It has completed drilling program at the Montepuez project. It also focuses on undertaking on-ground exploration program at the Kroussou lead-zinc project, including discovery of outcropping. It produces Graphene Oxide and Graphene from raw graphite at its Montepuez project. The Montepuez central project consists of various prospects, such as Buffalo, Lion and Elephant. The Balama Central project is located within Xixano Complex. It has discovered additional outcropping zinc and lead prospects, over a distance of approximately 50 kilometers. Its subsidiaries include Rio Mazowe Limited, Express Resources Pty Ltd and Index Resources Pty Ltd.",2021-02-12,0.03,0.04,0,0.02,342.86,10241461,0,67.36,4.71,-24.72,0,0,0.01,39.52,1010,2.18,2040,34.96,0,0,-28828.77,0,-95.65
"100","BBX.AX","BBX Minerals","BBX Minerals Limited is a resource exploration and development company. The Company is engaged in exploration and development of mining assets in Brazil and South America. The Company's projects include Juma East, Ema and Tres Estados. The Company operates in two geographical areas: Australia and Brazil. The Juma East Project applications cover a total of approximately 38,443 hectares. The Ema Gold Project is located approximately 30 kilometers south of the Apui city. The Tres Estados Gold Project is located approximately 60 kilometers southeast of Apui. The Company has granted four exploration leases to Juma East Project, one exploration lease to Ema project and one exploration lease to Tres Estados project. The Company's subsidiaries include BBX Peru, BBX Lucanas, BBX Brazil, Minorte Extracao de Mineracao Ltda and Comin Gold.",2021-02-12,0.28,0.71,0.09,0.32,67.57,291351,0,130.22,100,-48.61,0,98.7,0,126.41,330.78,-1.36,434.06,21.15,0,0,-1147091.99,0,-191.37
"101","BCI.AX","BCI Minerals Limited","BCI Minerals Ltd is an Australia-based company focused on developing a salt and potash business. The Company is focused on developing its Mardie Salt & Potash Project, which is located on the West Pilbara coast. It also owns royalty interests in Iron Valley, an iron ore mine located in the Central Pilbara region of Western Australia. It owns approximately 30% interest in the Carnegie Project, which is a potash exploration project located approximately 220 kilometer (km) north-east of Wiluna that comprises one granted exploration license and two exploration license applications covering a total area of approximately 1,700 km square.",2021-02-12,0.34,0.35,0.1,0.26,96.97,579422,325,194.48,1.25,-42.16,0.11,0.74,0.26,88.32,210.85,1.42,598.39,51.3,46.15,0.49,-13.34,8.1,0.36
"102","BCN.AX","Beacon Minerals","Beacon Minerals Limited (Beacon) is engaged development and production of gold from the Halley's East open pit gold mine, Western Australia. The Company is focused on developing the Barlee Gold Project in Western Australia. It has completed rehabilitation work at the Halleys East Project. The Company also operates Sandstone West Prospects. It has completed a follow-up drilling program at the Sandstone West Prospects, which include Golden Raven and Golden Raven North. The Golden Raven gold prospect is located approximately five kilometers west of the Murchison town of Sandstone. The Golden Raven North prospect is located over 800 meters to the north-northeast of Golden Raven. At Golden Raven, a program total of approximately 30 angled aircore holes for over 1,440 meters (GRAC035 061) is completed and at Golden Raven North a smaller program of approximately six angled aircore holes is completed for over 470 meters (GRAC062-067). Beacon Mining Pty Ltd is the Company's subsidiary.",2021-02-12,0.04,0.05,0.02,0.04,18.18,4923984,13.33,114.93,4,9.65,0,63.4,0.01,117.08,1840,-2.53,2870,48.15,0,25.49,26.65,27595.3,63.47
"103","BGL.AX","Bellevue Gold Limited","Bellevue Gold Limited, formerly Draig Resources Limited, is an Australia-based gold exploration company. The Company’s principal project is the Bellevue Gold Project, which is located approximately 157 kilometers north west of Laverton in Western Australia. The Bellevue Gold Project covers an area of approximately 27 square kilometers over three granted mining leases and one exploration license. The Company also holds interests in the Tribune Lode high grade discovery and the South Yandal Gold project.",2021-02-12,0.98,1.49,0.28,1.15,87.16,4717529,0,872.48,7.32,-158.99,0.04,0,0.14,831.65,704.02,-34.05,851.2,12.7,0,0,-10846.15,1633.3,-7.77
"104","BHP.AX","BHP Group Limited","BHP Group Ltd, formerly BHP Billiton Ltd, is a global resources company. The Company is a producer of various commodities, including iron ore, metallurgical coal, copper and uranium. Its segments include Petroleum, Copper, Iron Ore and Coal. The Petroleum segment is engaged in the exploration, development and production of oil and gas. The Copper segment is engaged in mining of copper, silver, lead, zinc, molybdenum, uranium and gold. The Iron Ore segment is engaged in mining of iron ore. The Coal segment is engaged in mining of metallurgical coal and thermal (energy) coal. Its businesses include Minerals Australia, Minerals Americas, Petroleum and Marketing. The Company extracts and processes minerals, oil and gas from its production operations located primarily in Australia and the Americas. The Company manages product distribution through its global logistics chain, including freight and pipeline transportation.",2021-02-12,44.72,47.54,24.05,39.73,17.97,6068281,29.94,237722,4.96,12.48,2.66,54.79,9.48,257180,5020,6270,2950,0.17,2.62,18.53,35.29,-12.4,16.79
"105","BRV.AX","Big River Gold Limited",NA,2021-02-12,0.05,0.08,0.01,0.05,78.57,1506191,0,85.97,26.13,-166.81,0,0.08,0.01,513.67,654.22,-5.5,1750,51.86,0,0,0,0,-7.2
"106","BRI.AX","Big River Industries Limited","Big River Industries Limited is an Australia-based diverse manufacturer and distributor of timber and building products. The Company is in the timber products business that operates across the full continuum from procurement of raw materials through to sale of finished products to end users. The Company is a manufacturer of softwood and hardwood formply and structural plywood products in Australia. The Company is a seller of consumable formwork products in Australia. It is also a national merchant of timber and associated building products to local trade, medium sized and enterprise sized companies. It also manufactures a range of steel decking, flooring and specialty plywood products. Its products are sold to professional builders, formworkers, construction companies and building contractors that operate in the residential, non-residential and infrastructure markets. It owns and operates two manufacturing facilities in Wagga Wagga, New South Wales (NSW) and Grafton, NSW.",2021-02-12,1.6,1.69,1.19,1.45,-0.93,10778,22.54,116.92,1.39,11.63,0.14,69.97,1.15,141.43,28.87,-3.4,73.08,11.13,1.53,1.79,3.59,9.9,6.67
